ID,性別,世代,キャンペーン反応フラグ,購入金額_201304,購入金額_201404,キャンペーン前M,キャラクター商品M,生活用品M,文具M,娯楽商品M,本類M,おにぎりM,スイーツM,パンM,ファストフードM,飲料M,お惣菜M,お弁当M,キャンペーン前R,キャラクター商品R,生活用品R,文具R,娯楽商品R,本類R,おにぎりR,スイーツR,パンR,ファストフードR,飲料R,お惣菜R,お弁当R
172,男,30代,1,11790,16980,123730,12740,2820,940,0,13740,10720,10480,18150,6460,42250,2150,10770,1,1,57,114,NA,10,6,2,2,1,1,39,15
173,男,30代,1,9400,13900,100395,14330,0,895,0,6460,16180,6560,15780,2800,35850,3150,7170,1,2,NA,24,NA,78,2,9,3,69,1,6,10
174,男,40代,1,4590,16060,129180,17580,3200,570,2500,11960,11940,10130,26910,3600,39850,780,12850,2,2,57,183,247,10,2,8,6,47,2,121,10
175,男,50代,1,8590,16710,113740,14270,4200,300,1000,10080,14150,7780,15730,2460,41130,0,12870,2,3,40,293,174,2,2,31,3,17,2,NA,7
176,男,60代,1,6710,6750,74650,9950,200,1000,0,3660,8600,6220,10330,4080,27850,1100,7390,3,8,121,19,NA,31,13,13,3,47,3,179,10
177,男,50代,1,10420,16660,146910,18250,10300,890,13500,9100,14800,7330,21030,2540,46610,1540,12020,2,6,11,11,13,2,5,14,7,6,4,83,20
178,女,30代,1,4840,5740,82520,6000,600,100,15000,2480,4650,2910,10770,4860,27550,1780,7360,1,6,316,159,294,10,7,56,3,6,1,12,43
179,男,20代,1,8640,9130,60935,6350,1000,55,7500,5500,4810,5820,6490,2320,17820,1550,5490,2,2,285,59,77,48,6,14,2,22,8,85,36
180,男,60代,1,10280,10190,109420,11870,3950,360,5000,4200,12400,7190,18440,4580,37390,4100,5370,1,1,101,224,181,18,1,4,1,32,6,74,6
181,女,10代以下,1,1680,3250,33545,6350,4200,55,0,3200,3400,1360,5260,1960,7420,2920,2070,3,3,210,54,NA,59,7,85,3,14,4,9,25
182,男,60代,1,10910,12060,145785,15180,2200,1115,13000,8300,15850,12130,18570,5540,46340,5020,10220,1,2,233,10,57,15,5,1,2,5,1,10,8
183,男,20代,1,1940,1040,26870,2930,3000,300,0,600,2710,1600,5610,520,8900,430,1380,7,12,136,362,NA,276,17,79,12,59,12,49,68
184,女,60代,1,8030,16380,152790,17910,9400,1370,0,16520,18880,17940,19110,4940,45780,4430,6050,1,1,3,66,NA,29,3,7,2,23,1,37,19
185,女,50代,1,16780,12810,136320,14020,6000,610,0,7160,10560,16230,15330,3880,54230,430,15560,3,3,43,15,NA,6,6,14,3,11,3,20,14
186,男,40代,1,840,1210,15210,3790,0,120,0,180,1950,0,2500,440,3410,1000,4490,6,10,NA,284,NA,270,6,NA,10,39,24,162,10
187,女,30代,1,8050,15280,125595,11540,4520,575,11000,3400,14190,11100,16280,3620,42730,2240,8760,2,3,32,9,3,74,2,3,3,12,2,34,10
188,男,50代,1,2210,2230,26365,2280,0,255,0,800,2710,860,4940,1760,10130,2600,1700,6,19,NA,148,NA,216,19,33,14,34,6,303,66
189,男,30代,1,8610,11080,89975,11020,2000,435,3000,8580,9600,9510,12400,5800,26640,1990,6380,1,1,158,1,353,9,2,25,1,6,1,52,1
190,男,40代,1,1970,1540,49675,3080,0,55,21000,1800,3930,1630,3320,560,12030,0,3600,2,6,NA,267,204,125,2,223,6,41,3,NA,10
191,女,40代,1,3880,7610,40040,3300,200,50,3000,4380,3950,2720,5680,1640,12900,250,2990,3,39,357,116,288,34,25,27,9,66,3,108,97
192,女,60代,1,0,200,4075,480,0,55,0,360,210,900,480,200,1230,500,0,7,26,NA,7,NA,260,65,159,26,27,10,359,NA
193,女,30代,1,6210,12140,118025,17050,1000,855,0,8880,14650,9620,16450,4880,40190,4750,9890,1,4,342,11,NA,10,2,1,4,2,2,32,27
194,男,70代以上,1,9090,18430,125765,12530,1800,155,26500,5640,13250,4900,18500,5860,33700,1250,5870,1,2,229,132,53,16,1,11,2,6,1,11,8
195,男,60代,1,2370,3430,38320,7430,1300,0,0,2200,5260,3390,7030,2200,13320,450,2090,5,5,262,NA,NA,135,5,58,5,72,9,65,49
196,男,20代,1,5410,12400,94140,11960,8500,500,0,4800,10420,8160,15520,4580,30260,250,5950,1,1,33,113,NA,7,1,66,1,30,7,264,19
197,女,30代,1,9610,5840,68945,6390,200,405,3000,7500,7260,7030,7790,3400,19530,1850,7600,1,2,91,65,213,36,2,9,8,8,1,10,14
198,男,70代以上,1,4210,9290,93120,9560,0,400,17500,7300,9360,6270,12180,860,30350,1060,5180,1,8,NA,50,57,5,1,10,5,31,1,24,1
199,女,60代,1,10100,10770,130555,12950,4150,155,8000,20420,11660,12480,16860,4900,35700,2040,7600,1,2,194,9,298,117,1,2,2,12,3,2,21
200,女,70代以上,1,9150,14130,121070,10580,1600,260,16000,7260,11560,9590,15050,3500,36280,4850,8050,2,3,180,180,7,3,2,2,3,16,2,9,44
201,男,20代,1,6300,5180,71475,7320,7000,55,3000,2040,6090,3320,14830,1460,23830,1250,4740,2,2,25,148,89,54,3,28,2,13,2,15,33
202,男,50代,0,1170,780,16270,4420,0,0,0,500,2430,1100,4250,520,5090,250,1490,4,4,NA,NA,NA,84,46,25,4,202,26,24,28
203,男,60代,1,770,1420,10200,1390,0,0,0,0,860,240,2020,460,6350,180,0,5,57,NA,NA,NA,NA,5,118,76,56,48,78,NA
204,女,70代以上,1,1900,1680,29600,3100,2000,360,1000,2400,2010,2750,3640,1760,7650,700,1460,2,4,223,347,120,143,2,125,4,11,4,175,43
205,女,70代以上,1,3270,6860,71170,8100,5900,650,0,5600,9300,5790,8600,3940,22380,1110,4180,3,7,157,97,NA,47,3,29,16,5,3,70,3
206,男,50代,1,5370,7840,47830,5270,2400,340,0,5520,5200,2790,6450,1420,17650,790,3190,1,1,153,98,NA,10,1,13,9,43,1,79,17
207,男,60代,1,5800,6420,42975,5920,5200,355,0,1700,4740,1230,9860,980,11870,750,3690,2,2,257,207,NA,157,17,4,2,25,2,122,2
208,女,70代以上,1,16810,5510,64360,7670,1100,50,15500,3100,4700,8360,8640,2840,12140,1050,4580,1,1,193,142,149,77,1,12,1,37,11,66,19
209,男,60代,1,2840,1940,33730,3060,2440,0,1000,4900,5310,2010,4660,1220,8460,250,2390,3,7,48,NA,283,33,7,139,3,9,7,51,12
210,男,10代以下,1,4280,1800,33465,3970,950,155,0,1100,3590,1400,6210,2160,8210,1280,6280,4,4,37,7,NA,123,5,102,4,16,10,71,16
211,男,10代以下,1,3830,2670,45480,7010,1500,300,0,10900,5500,2040,7590,1660,12120,250,1150,3,3,91,29,NA,18,11,73,15,3,4,58,65
212,女,30代,1,1200,2320,34880,3760,3000,0,0,2700,4200,5660,3040,1680,10650,250,1080,7,18,32,NA,NA,75,24,7,18,7,7,194,34
213,女,50代,0,410,370,5080,340,200,0,0,600,330,250,820,100,1740,0,600,13,13,100,NA,NA,69,44,107,13,114,13,NA,354
214,男,10代以下,1,180,780,6590,480,0,240,0,180,600,320,1280,420,1780,250,400,24,43,NA,87,NA,312,43,46,116,243,24,44,137
215,男,50代,1,7890,6280,64605,5470,0,215,3000,2700,5460,4410,11060,1920,25850,2250,6180,1,1,NA,37,329,1,70,39,1,68,2,86,20
216,女,70代以上,1,4810,7080,63820,7040,500,340,0,3700,6930,7970,8440,3560,20920,950,7950,1,1,259,187,NA,10,1,25,13,4,13,96,23
217,女,70代以上,1,3440,4240,53230,6160,4000,220,6000,300,5930,3860,8270,1700,12430,2950,4480,2,15,263,58,6,86,2,47,16,6,2,91,12
218,女,10代以下,1,2100,1850,37000,7370,500,510,0,2900,2920,1660,7100,2200,9090,3280,2880,1,2,14,167,NA,122,9,32,2,6,1,48,115
219,男,20代,1,3460,1750,19000,1540,3000,0,0,5580,1020,630,1570,980,2510,250,3100,1,1,307,NA,NA,111,60,258,1,38,36,101,38
220,女,30代,1,9820,11170,66875,6120,0,105,2500,7400,7240,7650,9070,2480,18570,2540,6790,3,3,NA,70,113,30,7,49,3,50,3,21,23
221,女,70代以上,1,1080,4100,21030,2660,0,0,0,1300,1940,2020,2930,900,7640,1150,1800,3,20,NA,NA,NA,46,89,11,20,3,6,147,68
222,女,60代,1,3830,6310,64890,8170,4450,0,0,4600,5800,7600,10000,4100,19500,2180,3870,1,1,18,NA,NA,42,6,3,1,6,2,61,42
223,女,10代以下,1,5650,11110,77370,10990,2500,300,2500,4400,6580,6860,12880,3300,18010,1490,12860,2,2,51,120,241,67,2,27,9,12,13,24,47
224,男,10代以下,1,5550,6910,69780,11070,4650,240,0,2300,7220,5080,12550,4220,20620,680,9260,2,2,103,262,NA,57,5,44,2,4,2,229,12
225,女,50代,1,1520,3070,21560,3570,3000,0,0,1080,1660,1190,3020,1800,7870,600,600,1,2,116,NA,NA,148,1,208,2,55,1,341,268
226,男,10代以下,1,630,590,7100,2610,0,0,0,0,350,300,1950,1020,2650,0,0,9,18,NA,NA,NA,NA,26,132,20,104,9,NA,NA
227,女,60代,1,5160,9130,81895,5950,400,175,15000,5380,6680,6600,9050,3900,22340,2860,6380,1,9,353,47,163,70,8,27,9,25,1,50,50
228,男,30代,1,2960,6040,66105,8070,1000,565,5000,5260,9430,5540,9260,2360,18530,830,4090,1,1,138,6,160,15,1,41,1,22,4,100,57
229,男,60代,1,3630,8340,43625,4360,200,55,0,5560,3710,1670,7950,3520,10940,200,8260,3,3,319,20,NA,59,13,10,3,5,3,352,45
230,女,10代以下,1,1270,2790,31855,6520,1000,165,0,1800,4390,2150,8830,1420,8240,610,780,5,5,91,15,NA,103,36,25,5,11,25,169,71
231,女,10代以下,1,3620,9820,57340,9050,200,400,3000,3500,4820,7860,15170,2760,13550,900,2360,1,1,11,295,233,25,4,7,1,44,8,17,147
232,女,10代以下,1,2060,1680,18325,1930,0,105,0,400,2410,2570,2370,1740,5780,400,2090,2,49,NA,167,NA,180,34,34,2,112,2,217,96
233,男,50代,1,830,1230,9675,600,0,165,0,360,1890,2260,720,220,3000,0,0,8,27,NA,47,NA,50,8,83,123,91,22,NA,NA
234,女,40代,1,110,1240,14015,490,0,55,0,800,2060,130,840,220,6320,600,2390,4,15,NA,255,NA,66,15,68,15,28,4,104,19
235,男,30代,1,4570,5280,69795,9120,1300,225,0,8480,7310,7390,9500,1040,25620,0,4560,1,1,350,58,NA,25,6,61,1,51,1,NA,1
236,男,70代以上,1,8840,7390,74235,9920,2700,405,0,6580,10080,2960,11550,2700,26100,700,6100,1,1,115,19,NA,37,1,46,3,2,3,203,6
237,女,10代以下,1,6050,3250,36390,5790,0,0,0,6560,4040,2720,5510,1940,8740,0,4190,1,6,NA,NA,NA,20,19,11,11,6,1,NA,10
238,男,30代,1,1210,10080,47840,2750,0,0,12000,2300,3570,2370,5640,1820,14380,1000,3500,3,3,NA,NA,83,10,3,75,5,31,3,3,82
239,女,20代,1,7030,6990,95595,9300,27070,775,0,6680,7330,10550,10010,2540,18040,2180,7200,4,4,48,20,NA,38,4,14,14,20,4,11,11
240,男,70代以上,1,1670,1610,15550,870,0,0,0,200,1900,0,3230,100,5140,600,2060,1,2,NA,NA,NA,303,1,NA,2,175,4,20,75
241,男,60代,1,3330,4770,47345,5630,0,225,0,6400,6040,2130,8260,1140,16820,250,3290,2,3,NA,55,NA,14,11,15,4,63,2,119,73
242,女,10代以下,1,5940,5130,55765,10530,2060,415,0,5680,5020,7150,10100,2980,10970,2180,5090,1,1,91,138,NA,167,1,28,1,56,1,3,3
243,女,10代以下,1,2340,2370,26825,4280,350,55,0,2000,3730,3010,2910,1240,6510,450,2590,8,8,171,364,NA,87,11,87,20,70,8,79,8
244,男,70代以上,1,2040,4920,60210,7870,0,370,6000,5400,4910,4710,9680,3200,17870,1000,4150,1,15,NA,13,33,19,2,7,1,58,2,117,2
245,男,30代,1,0,110,5050,630,0,0,0,0,520,0,970,120,2170,0,990,27,27,NA,NA,NA,NA,57,NA,27,100,28,NA,140
246,女,60代,1,3440,4720,52050,5720,0,270,0,4300,5020,5580,5280,1660,22160,2180,4280,7,7,NA,21,NA,62,10,44,7,11,7,126,47
247,男,60代,1,2340,1000,31040,4060,0,110,0,8400,4720,2130,2220,860,9480,0,1680,2,2,NA,235,NA,79,2,8,3,2,5,NA,25
248,女,30代,1,300,1280,13530,1390,0,0,0,200,710,1690,3660,0,3890,500,1600,1,1,NA,NA,NA,9,10,26,1,NA,9,101,86
249,女,30代,1,7300,5690,60615,6750,200,625,5500,5460,7400,6430,6960,3680,17050,2600,2190,1,1,325,90,194,45,1,68,7,7,16,54,25
250,女,30代,1,2110,5800,42860,4010,200,300,0,4780,4000,2330,6870,2700,12980,1150,3800,2,2,258,351,NA,47,39,65,2,65,3,139,20
251,男,40代,1,260,2470,28480,2550,500,0,0,3700,3460,1350,3420,100,8830,0,5500,1,13,278,NA,NA,16,18,150,13,102,1,NA,30
252,男,20代,1,14180,7770,86890,8920,13900,800,0,5400,9260,3950,11460,3360,27170,1500,5270,1,10,47,23,NA,13,4,34,1,14,2,22,10
253,男,10代以下,1,5430,5900,38505,4960,3800,55,0,2400,4100,3030,5840,1420,10430,1100,4190,1,1,27,163,NA,146,9,143,24,13,1,131,1
254,女,40代,1,2160,2270,22850,2310,0,0,5000,900,1040,1440,2440,1020,7080,1920,680,25,25,NA,NA,220,72,51,71,33,32,25,125,61
255,男,70代以上,1,1550,2755,22980,2110,200,0,0,1000,970,700,2660,460,12180,0,3190,2,3,365,NA,NA,104,12,2,3,93,33,NA,113
256,女,30代,1,2420,130,18075,1520,1300,55,0,580,1750,2410,2340,580,6880,0,1480,4,25,200,14,NA,4,30,51,25,20,21,NA,129
257,男,20代,1,4030,7640,71030,8960,4540,400,0,5000,7310,4870,9700,2360,26120,1180,6050,3,3,6,99,NA,51,3,6,4,28,3,231,12
258,男,60代,1,100,660,10410,130,0,100,0,1980,1290,500,1100,0,4580,0,600,9,296,NA,333,NA,36,48,241,78,NA,9,NA,9
259,女,60代,1,2960,5010,30345,2830,200,55,0,1380,2750,1400,5070,2020,12230,2100,1380,3,3,237,344,NA,127,22,87,4,100,3,79,26
260,男,60代,1,2100,1960,19900,1960,0,0,5000,200,2140,720,2770,860,6730,0,1190,4,17,NA,NA,113,109,17,101,24,35,4,NA,4
261,女,20代,1,1740,9870,69420,6890,6420,220,5000,2800,4980,12790,6100,2420,21260,1150,2880,1,6,77,119,197,66,1,4,9,45,1,1,30
262,男,30代,1,3250,13260,62730,9770,0,50,1000,3300,8370,4740,12330,1880,23850,250,3100,1,1,NA,233,263,28,1,32,1,25,1,263,20
263,男,60代,0,1770,840,25860,2860,1000,950,2500,2600,2950,2030,4070,580,5840,0,2690,4,7,142,202,249,186,28,19,4,29,4,NA,43
264,女,70代以上,1,230,860,11430,1180,0,0,0,800,690,2320,1390,1060,3590,430,600,4,8,NA,NA,NA,170,12,108,8,83,4,54,352
265,女,10代以下,1,3590,6670,60060,8900,4100,210,0,3300,5780,9180,13270,2740,14520,2630,2370,1,2,22,155,NA,1,4,60,2,7,17,35,104
266,男,30代,1,6210,2850,40220,4220,2240,0,1000,1400,8310,1830,6300,1860,11700,1080,3580,2,9,166,NA,363,75,8,7,9,16,15,2,18
267,女,70代以上,1,2510,4760,43660,4950,0,0,0,800,3490,6550,6880,2100,16490,630,4290,1,19,NA,NA,NA,39,1,6,19,35,1,1,6
268,男,70代以上,1,2580,8890,34830,3060,2500,50,0,2900,3160,2470,4840,320,13850,500,1880,2,15,209,19,NA,154,18,15,15,110,4,125,59
269,男,70代以上,1,4730,8150,63800,12350,200,120,0,2180,7420,5440,11660,2140,21810,2220,7450,1,1,221,20,NA,70,7,1,1,12,1,14,1
270,男,40代,1,2810,2450,49730,4580,0,300,15000,180,3620,2260,5700,1280,15700,750,2500,9,18,NA,135,140,145,18,72,21,9,21,352,36
271,女,50代,1,4790,8680,78875,11230,2000,325,2500,3660,9080,4370,9860,3440,26830,3510,10290,2,2,130,18,88,7,10,70,2,8,5,2,26
272,男,30代,1,4880,7990,73185,8350,2750,1415,0,7600,7370,2040,14510,3160,25160,630,3170,5,5,24,101,NA,175,5,80,5,5,5,25,25
273,男,30代,1,8060,9080,52690,6260,1000,1620,0,4000,6170,2650,7890,1040,19770,1000,3880,1,1,314,29,NA,84,1,17,1,42,6,6,30
274,男,40代,1,4910,7160,76320,9720,0,470,2500,7600,8040,4420,10910,5100,25750,610,6570,4,5,NA,34,49,4,15,33,10,5,4,33,16
275,男,50代,1,3250,7180,62690,8010,0,1850,4000,4820,5120,5590,9060,3000,18470,2880,3580,1,1,NA,16,3,51,16,54,1,41,2,67,26
276,男,60代,1,2130,4820,45915,4370,200,385,0,8080,3490,2160,9670,2080,12980,750,2870,3,10,161,269,NA,33,40,170,3,59,11,198,74
277,男,50代,1,6820,6920,90260,8490,360,100,25000,2200,5630,5760,8550,1360,30470,2040,5570,2,3,330,259,125,68,27,2,3,57,2,17,26
278,女,30代,1,3720,1430,43270,5210,0,350,0,3700,6810,5680,4540,1820,13490,1080,3990,1,1,NA,143,NA,88,9,11,1,20,5,40,91
279,男,20代,1,2020,5830,33395,3630,4500,55,0,4200,3310,370,3040,1340,11660,1000,1800,1,1,79,103,NA,33,1,39,1,14,7,27,104
280,男,60代,1,8390,10910,72075,9500,5500,1935,2500,2400,6990,4010,12860,1640,21500,250,7340,1,1,239,108,288,40,1,44,1,45,9,143,16
281,女,10代以下,1,1930,4710,34210,4240,1800,0,2000,8300,3150,4630,4190,1040,5880,450,1190,3,6,299,NA,14,44,6,87,7,69,3,3,195
282,男,60代,1,10320,7360,84620,11030,2000,170,4000,2280,10390,7180,12880,3440,29400,3240,7340,3,5,253,195,200,166,10,67,6,8,5,29,3
283,男,20代,1,2820,1340,15070,1570,0,300,3000,1600,2010,2620,720,0,3770,0,500,4,19,NA,275,10,22,4,14,72,NA,48,NA,313
284,女,60代,1,5430,7290,70120,7850,200,1110,5000,3900,7830,6120,9540,2340,27330,250,2950,5,5,8,94,166,36,11,11,5,41,5,295,11
285,女,50代,1,7350,6210,77085,9580,3860,295,0,11300,8510,4270,10550,1660,26000,1040,5770,1,1,51,80,NA,23,1,7,1,45,6,21,6
286,男,40代,0,270,870,6630,880,0,0,0,0,490,540,1060,600,2710,0,1100,7,7,NA,NA,NA,NA,7,87,66,56,15,NA,87
287,女,30代,1,5120,11730,79190,7370,400,0,7500,5800,7890,7200,9270,2900,24860,1880,7070,1,1,345,NA,63,18,1,34,5,6,1,21,7
288,男,50代,1,520,610,13560,1150,0,0,0,0,1490,450,3530,220,5500,250,1990,5,28,NA,NA,NA,NA,7,121,5,75,11,258,34
289,男,30代,1,8370,6410,62730,4710,2000,150,7500,10400,5560,3170,5810,3060,15810,1950,2870,1,4,313,88,12,55,1,61,4,12,1,110,12
290,男,40代,1,2545,1640,16955,2350,2000,155,0,1200,2820,1750,2130,360,4320,180,1360,2,15,2,102,NA,179,16,79,15,109,3,304,65
291,女,40代,1,2740,1930,21690,2100,0,0,0,180,1160,1670,4180,340,10740,250,1090,5,5,NA,NA,NA,338,5,36,9,19,21,223,184
292,女,60代,0,300,0,3120,0,0,50,0,0,1010,0,340,0,970,180,300,4,NA,NA,243,NA,NA,4,NA,166,NA,259,178,329
293,女,30代,1,8590,8870,88315,8010,5750,225,18000,3180,10430,13120,8750,2260,19520,1650,1570,2,2,75,104,122,10,3,9,2,31,2,110,5
294,男,70代以上,1,4370,8920,70965,7490,0,155,20000,3980,6660,1860,10590,2400,16780,700,4470,2,2,NA,4,33,15,22,9,2,4,2,219,46
295,男,60代,1,1010,1890,17210,2730,0,50,0,700,2060,3240,4220,320,5680,0,90,12,12,NA,354,NA,68,12,57,16,71,19,NA,68
296,男,20代,1,4200,9420,71890,9350,8800,520,0,3100,8220,3280,12330,2280,25560,1250,3780,8,8,147,8,NA,132,8,20,8,27,9,75,19
297,女,30代,1,1660,5180,26960,2420,0,0,1000,2360,3220,2320,3220,980,9710,250,2880,2,26,NA,NA,31,11,3,26,10,10,2,268,73
298,男,70代以上,1,2865,10000,61755,5450,3200,405,10000,5580,4880,2100,8290,2060,17730,560,3590,12,16,48,24,88,35,16,66,20,28,13,241,35
299,女,60代,1,5060,10010,63885,8710,1000,175,0,2500,8790,7220,9560,2540,19620,2830,5600,3,4,150,54,NA,113,4,20,3,55,3,38,62
300,女,70代以上,1,9330,6340,68730,5320,0,120,2500,4700,5930,12120,6180,2800,22940,2560,4130,5,5,NA,126,340,10,21,20,5,53,5,5,5
301,男,20代,1,1380,5650,44040,4240,4800,520,0,3400,3880,2300,4720,2300,14440,450,5150,4,23,4,200,NA,202,48,47,5,34,6,200,38
302,男,50代,1,140,2580,12300,2160,0,0,0,0,2700,500,2040,220,4400,180,1500,2,35,NA,NA,NA,NA,35,90,27,146,2,22,90
303,男,60代,1,120,665,7010,580,0,0,0,0,520,430,480,1320,2520,250,600,1,1,NA,NA,NA,NA,13,62,1,65,1,303,198
304,女,70代以上,1,1630,2130,17065,3340,0,655,0,0,2050,370,3060,1680,7170,0,900,16,25,NA,204,NA,NA,37,106,35,25,16,NA,104
305,女,70代以上,1,7590,1890,52320,4150,600,900,6000,7960,4200,4630,6780,1760,13130,250,3290,11,12,218,100,16,30,20,27,16,12,11,88,20
306,男,50代,1,2440,3660,35320,4340,0,0,5000,1100,3580,2090,8520,1280,10460,680,1990,7,15,NA,NA,213,49,7,129,15,43,7,76,67
307,男,60代,1,3230,5530,26000,2880,1600,0,0,2200,2750,3200,2170,1320,10130,500,860,2,9,76,NA,NA,138,10,8,9,5,2,273,11
308,女,70代以上,1,2350,1890,58210,4510,1500,50,25000,3000,4710,4970,6170,940,8620,540,1880,1,1,169,95,75,89,2,23,1,64,14,305,23
309,男,60代,0,230,1090,24980,2090,2800,0,4000,1080,3310,740,1690,580,7700,400,1800,1,1,180,NA,74,240,3,8,1,92,1,167,4
310,男,10代以下,1,1110,2670,16550,2810,200,0,0,0,1670,810,2480,1520,5600,1240,1980,1,1,15,NA,NA,NA,1,63,3,3,1,131,29
311,男,10代以下,1,2130,3110,29200,4610,1000,1200,0,400,4910,2250,6040,1300,8560,200,1390,1,1,266,337,NA,280,10,43,1,19,10,101,158
312,女,30代,1,2710,1300,20090,1670,1440,0,0,1300,2920,2160,1410,1600,7290,0,790,2,5,63,NA,NA,58,2,40,5,47,2,NA,141
313,女,50代,0,840,2260,4780,0,0,0,0,600,1120,150,980,0,1380,250,300,22,NA,NA,NA,NA,320,184,246,22,NA,28,280,79
314,男,10代以下,1,0,110,2290,730,0,0,0,0,100,120,890,240,940,0,0,13,31,NA,NA,NA,NA,344,241,31,291,13,NA,NA
315,男,50代,1,760,8350,39720,4830,2000,300,0,3380,6320,1100,5160,1920,15390,360,1890,4,11,146,356,NA,14,4,87,6,5,6,41,13
316,女,70代以上,1,2950,6480,49170,6930,0,300,0,4380,8270,4150,9090,2300,14800,500,3380,1,3,NA,230,NA,100,3,14,3,68,1,136,54
317,女,70代以上,1,1100,3330,34130,3740,5000,0,0,2400,3470,5900,3190,240,8970,3130,590,9,9,117,NA,NA,84,24,89,9,184,40,91,140
318,女,10代以下,1,1310,5230,27810,3660,1100,0,0,4600,3470,2050,5580,1160,5090,920,2000,2,9,22,NA,NA,67,2,73,9,9,24,159,107
319,男,20代,1,300,2300,10990,1270,0,0,0,200,2050,1920,1500,120,4240,0,500,1,36,NA,NA,NA,267,25,3,17,37,9,NA,9
320,女,30代,1,2840,8340,50550,5710,1200,0,5000,400,3920,5680,8810,1940,16680,180,4500,1,1,1,NA,53,184,1,25,5,27,5,182,41
321,女,70代以上,1,5850,3230,22400,2140,0,0,5000,900,1840,2270,2000,500,6650,750,1880,1,1,NA,NA,305,246,1,45,24,56,1,15,67
322,女,60代,1,1740,5150,57895,3940,200,765,5000,5300,5960,8880,4460,3060,16330,2670,1490,4,4,353,132,94,52,9,23,4,13,4,17,110
323,女,10代以下,1,2340,9290,60180,10450,1200,290,2500,4580,5840,4570,8750,4200,17750,430,4300,6,6,55,305,68,148,6,62,6,15,6,77,92
324,男,10代以下,1,1050,20260,38655,7060,2500,375,0,2500,5390,2960,6410,1180,11090,250,4090,1,7,61,15,NA,61,9,7,7,45,10,292,10
325,女,50代,1,1430,900,15380,1590,960,0,0,500,2970,1470,2480,100,4960,0,900,1,1,267,NA,NA,141,8,115,37,256,1,NA,242
326,男,10代以下,0,1210,270,7070,1120,200,300,0,600,650,740,590,360,2240,0,1390,6,6,57,283,NA,187,76,108,6,28,66,NA,255
327,女,60代,1,2350,4200,45150,4680,4500,300,0,2000,3670,5780,9160,1660,12170,500,1690,3,3,147,4,NA,137,3,23,3,4,3,134,91
328,男,30代,1,4660,10800,71405,4610,4720,55,27000,3800,4660,4330,7120,1520,10640,1250,2780,1,3,202,24,113,118,3,14,1,20,12,24,14
329,男,60代,1,960,3350,37790,5130,0,2100,1000,0,4260,2750,6860,1220,12290,0,3590,3,3,NA,345,181,NA,16,31,3,15,15,NA,18
330,女,10代以下,1,3500,2510,22970,5330,2400,120,0,1700,4080,2010,4980,1060,3330,750,500,1,1,338,308,NA,37,5,80,1,6,8,315,190
331,女,10代以下,1,4050,4120,47600,7130,200,240,5000,2880,4600,4730,9040,3480,12320,250,1800,2,2,201,62,42,52,5,24,2,14,2,251,106
332,女,10代以下,1,1110,590,18110,2440,2600,50,0,2900,1390,650,2110,1480,4700,900,690,7,12,32,253,NA,46,39,202,12,16,13,76,131
333,男,50代,1,0,970,7550,250,0,0,0,600,1180,0,640,240,2580,400,1200,20,47,NA,NA,NA,136,40,NA,170,194,20,166,20
334,女,40代,1,820,2360,9400,880,0,0,0,180,690,1990,1270,1300,3050,0,500,3,3,NA,NA,NA,24,82,85,3,150,22,NA,195
335,男,30代,1,2750,4970,33290,4790,0,0,0,500,4650,1160,4490,2420,12940,1330,4080,14,28,NA,NA,NA,290,23,74,14,22,16,62,22
336,男,70代以上,1,4770,6220,58140,7940,6150,0,0,6300,5890,3470,6660,2380,18000,700,5590,2,2,53,NA,NA,27,2,27,2,5,10,25,17
337,女,10代以下,1,630,820,17100,2560,0,150,0,4000,1640,1030,2300,660,4700,0,1700,4,4,NA,174,NA,19,4,19,6,31,6,NA,50
338,男,30代,1,2230,1630,31430,3260,0,100,9000,1100,4620,1280,4370,840,7320,720,1100,10,22,NA,167,111,159,10,120,22,32,13,150,51
339,女,20代,1,4660,4950,42645,3890,750,55,0,7600,4490,4850,5510,1940,12090,360,2190,2,3,333,26,NA,26,3,2,26,10,15,353,31
340,男,70代以上,1,100,2880,7810,690,0,0,0,0,410,900,2710,1000,2130,0,400,7,15,NA,NA,NA,NA,16,124,15,21,7,NA,7
341,男,60代,1,450,2230,31440,2460,0,100,5500,4280,3530,1500,3390,1020,9210,0,1990,8,12,NA,294,163,158,15,8,12,17,25,NA,93
342,女,10代以下,1,2630,3850,32650,5080,600,900,0,500,3560,4800,8050,2300,6890,700,1400,4,4,235,31,NA,86,19,20,4,66,19,63,54
343,女,10代以下,1,110,1020,15050,3330,1000,0,0,1200,1950,1000,2410,800,4840,200,1200,16,31,279,NA,NA,67,44,16,31,53,17,361,235
344,男,70代以上,1,4920,4200,48930,3270,0,0,15000,3280,5130,620,5290,1760,11040,880,4080,5,10,NA,NA,88,17,8,37,40,64,5,5,29
345,男,30代,0,0,0,3030,220,0,0,0,500,570,0,560,100,1140,0,0,71,130,NA,NA,NA,221,152,NA,76,135,71,NA,NA
346,女,60代,1,2280,3720,34655,3470,200,55,0,1680,4000,4600,6620,980,11490,1150,2330,6,6,44,121,NA,55,19,50,6,64,23,74,21
347,男,60代,1,230,1950,23470,3370,600,100,0,1860,3570,420,5630,1540,6800,1250,400,4,5,7,128,NA,37,5,249,43,4,10,261,110
